time_step,workpiece_id,step_idx,production_workcell,actual_quality,state,qc,consent,winner_qc_list,score,qc_results,production_time,transport_time,inspection_time,network_time,in_winner_counter,in_qc_counter,score_error,qc_score,qc_capability
1195.0,wp_3,4.0,,,,,,,,,,0.0,,,,,,,
1175.0,wp_2,2.0,,,,wc_6,0.0,"[('wc_6', 0.3), ('wc_2', 0.7), ('wc_3', 0.39)]",0.8719,['Fail'],,,26.0,0.007486,0.0,2.0,-0.3,0.3,0.2
1202.0,wp_2,2.0,,,,,,,,,,0.0,,,,,,,
1174.0,wp_5,4.0,,,,wc_1,0.0,"[('wc_1', 0.53), ('wc_4', 0.48)]",0.7556,['Pass'],,,30.0,0.003742,2.0,2.0,0.47,0.53,0.4
1205.0,wp_5,4.0,,,,,,,,,,0.0,,,,,,,
1206.0,wp_5,4.0,,,,wc_2,1.0,"[('wc_2', 0.7), ('wc_4', 0.48), ('wc_1', 0.53)]",0.92668,['Pass'],,,29.0,0.03662,2.0,2.0,0.30000000000000004,0.7,0.8
1237.0,wp_5,2.0,,,,,,,,,,0.0,,,,,,,
1203.0,wp_2,2.0,,,,wc_7,1.0,"[('wc_7', 0.85), ('wc_2', 0.7), ('wc_3', 0.39), ('wc_6', 0.3)]",0.980785,['Fail'],,,38.0,0.043268,2.0,14.0,-0.7071428571428571,0.85,0.9
1243.0,wp_2,3.0,,,,,,,,,,301.0,,,,,,,
1196.0,wp_3,4.0,wc_4,"{'Pass': 69, 'Fail': 31}",['Pass'],,,,,,70.0,,,,,,,,
1267.0,wp_3,4.0,,,,,,,,,,0.0,,,,,,,
1238.0,wp_5,2.0,wc_2,"{'Pass': 67, 'Fail': 33}",['Pass'],,,,,,59.0,,,,,,,,
1298.0,wp_5,2.0,,,,,,,,,,0.0,,,,,,,
1230.0,wp_4,1.0,wc_1,"{'Pass': 86, 'Fail': 14}",['Pass'],,,,,,69.0,,,,,,,,
1300.0,wp_4,1.0,,,,,,,,,,0.0,,,,,,,
1301.0,wp_1,1.0,,,,,,,,,,81.0,,,,,,,
1268.0,wp_3,4.0,,,,wc_4,0.0,"[('wc_4', 0.48)]",0.48,['Pass'],,,33.0,0.002273,1.0,3.0,-0.14666666666666667,0.48,0.4
1302.0,wp_3,4.0,,,,,,,,,,0.0,,,,,,,
1299.0,wp_5,2.0,,,,wc_2,0.0,"[('wc_2', 0.7)]",0.7,['Pass'],,,24.0,0.002441,3.0,3.0,0.30000000000000004,0.7,0.8
1324.0,wp_5,2.0,,,,,,,,,,0.0,,,,,,,
1303.0,wp_3,4.0,,,,wc_5,0.0,"[('wc_5', 0.77), ('wc_4', 0.48)]",0.8804,['Pass'],,,24.0,0.006174,0.0,3.0,-0.77,0.77,0.8
1328.0,wp_3,4.0,,,,,,,,,,61.0,,,,,,,
1301.0,wp_4,1.0,,,,wc_1,0.0,"[('wc_1', 0.53)]",0.53,['Pass'],,,38.0,0.007416000000000001,3.0,4.0,0.21999999999999997,0.53,0.4
1340.0,wp_4,1.0,,,,,,,,,,0.0,,,,,,,
1325.0,wp_5,2.0,,,,wc_3,0.0,"[('wc_3', 0.39), ('wc_2', 0.7)]",0.817,['Pass'],,,28.0,0.006809,2.0,3.0,0.2766666666666666,0.39,0.3
1354.0,wp_5,2.0,,,,,,,,,,0.0,,,,,,,
1341.0,wp_4,1.0,,,,wc_4,0.0,"[('wc_4', 0.48), ('wc_1', 0.53)]",0.7556,['Pass'],,,32.0,0.010976,1.0,3.0,-0.14666666666666667,0.48,0.4
1374.0,wp_4,1.0,,,,,,,,,,81.0,,,,,,,
1355.0,wp_5,2.0,,,,wc_5,1.0,"[('wc_5', 0.77), ('wc_2', 0.7), ('wc_3', 0.39)]",0.95791,['Pass'],,,25.0,0.035197,1.0,4.0,-0.52,0.77,0.8
1389.0,wp_3,4.0,,,,wc_2,1.0,"[('wc_2', 0.7), ('wc_4', 0.48), ('wc_5', 0.77)]",0.96412,['Pass'],,,39.0,0.05059799999999998,5.0,5.0,0.30000000000000004,0.7,0.8
1430.0,wp_3,2.0,,,,,,,,,,0.0,,,,,,,
1382.0,wp_1,1.0,wc_1,"{'Pass': 7, 'Fail': 93}",['Fail'],,,,,,76.0,,,,,,,,
1459.0,wp_1,1.0,,,,,,,,,,0.0,,,,,,,
1431.0,wp_3,2.0,wc_2,"{'Pass': 55, 'Fail': 45}",['Pass'],,,,,,58.0,,,,,,,,
1490.0,wp_3,2.0,,,,,,,,,,0.0,,,,,,,
